Employee_ID,Attrition_rate
EID_22713,0.0462
EID_9658,0.0313
EID_22203,0.2553
EID_7652,0.06002857142857143
EID_6516,0.14239342105263153
EID_20283,0.11056888888888887
EID_21014,0.05961666666666667
EID_7693,0.2873
EID_13232,0.17290090909090908
EID_6515,0.3372153846153846
EID_13639,0.1854
EID_14669,0.1156735294117647
EID_16537,0.1077651162790698
EID_5782,0.17061999999999997
EID_20157,0.07326363636363636
EID_1855,0.1945
EID_20748,0.141
EID_23179,0.2537
EID_12838,0.0768
EID_21656,0.13989750000000004
EID_8844,0.18767777777777778
EID_1536,0.0252
EID_8822,0.28326666666666667
EID_11398,0.12526666666666667
EID_12965,0.1514389830508475
EID_5204,0.7465
EID_10030,0.07815
EID_13227,0.20065999999999998
EID_20607,0.2217464285714286
EID_14070,0.21309999999999998
EID_3755,0.0791388888888889
EID_5459,0.8568
EID_7697,0.10694999999999998
EID_3935,0.19244999999999998
EID_19046,0.1514389830508475
EID_4040,0.153
EID_17730,0.3753
EID_4995,0.059039999999999995
EID_24653,0.444175
EID_6978,0.17290090909090908
EID_13775,0.1493
EID_14608,0.11056888888888887
EID_3148,0.12968478260869568
EID_24868,0.11386363636363636
EID_5521,0.09264615384615385
EID_21155,0.15605384615384615
EID_3840,0.0158
EID_10646,0.18993333333333332
EID_6711,0.2957
EID_16247,0.11142380952380951
EID_16789,0.10975555555555555
EID_17967,0.1808
EID_13270,0.1508
EID_18462,0.11386363636363636
EID_22248,0.5975
EID_22693,0.2213166666666666
EID_25662,0.18993333333333332
EID_23346,0.14166623376623372
EID_4437,0.0855
EID_18108,0.15103333333333332
EID_7000,0.24558000000000005
EID_22770,0.102875
EID_7816,0.1232942857142857
EID_19615,0.14166623376623372
EID_23807,0.17294545454545454
EID_16764,0.14814
EID_16818,0.15574999999999997
EID_22712,0.07326363636363636
EID_18198,0.0306
EID_11154,0.4788
EID_22137,0.00285
EID_11655,0.14165
EID_18514,0.1514389830508475
EID_24742,0.16738571428571428
EID_16019,0.08552499999999999
EID_7357,0.13065
EID_20106,0.29394444444444445
EID_13284,0.16364
EID_5451,0.2445
EID_19728,0.20557000000000003
EID_9178,0.01365
EID_13177,0.13989750000000004
EID_14300,0.3241
EID_4379,0.1808
EID_11285,0.1713
EID_14882,0.1514389830508475
EID_9969,0.0722375
EID_23643,0.07066
EID_5935,0.0411
EID_7741,0.1152
EID_6176,0.1732
EID_5418,0.053919999999999996
EID_20626,0.2763
EID_1725,0.7634
EID_14317,0.0265
EID_12120,0.09597407407407406
EID_20264,0.19349999999999992
EID_16691,0.14893846153846155
EID_1093,0.1361625
EID_2565,0.2207
EID_11463,0.17290090909090908
EID_12005,0.0189
EID_10326,0.0177
EID_12582,0.1232942857142857
EID_18228,0.10951666666666665
EID_11670,0.2738
EID_24257,0.17290090909090908
EID_7024,0.2740333333333333
EID_10382,0.3361
EID_20210,0.1252
EID_10294,0.03055
EID_19941,0.15574999999999997
EID_25572,0.13167777777777778
EID_7758,0.2376666666666667
EID_22718,0.10973809523809526
EID_1078,0.23964
EID_8227,0.09851538461538463
EID_1702,0.6453
EID_3532,0.14495
EID_22452,0.10973809523809526
EID_3019,0.0033
EID_22264,0.2705285714285714
EID_9866,0.101225
EID_3520,0.2509
EID_21098,0.6376
EID_1186,0.16310000000000002
EID_12355,0.23017272727272725
EID_11020,0.15649999999999997
EID_19193,0.2976
EID_17787,0.13167777777777778
EID_13719,0.15
EID_24449,0.1514389830508475
EID_12957,0.1621857142857143
EID_24794,0.6232
EID_2866,0.4299
EID_10563,0.06547692307692307
EID_22492,0.7329
EID_4106,0.3671
EID_6648,0.14239342105263153
EID_7209,0.1428727272727273
EID_9692,0.27976666666666666
EID_22763,0.2136
EID_12622,0.13167777777777778
EID_9831,0.1514389830508475
EID_5731,0.1772
EID_1114,0.0038
EID_25017,0.07789999999999998
EID_22956,0.20726666666666665
EID_5549,0.1202
EID_12022,0.2621
EID_8034,0.657
EID_20644,0.13167777777777778
EID_20125,0.17290090909090908
EID_21957,0.164125
EID_8870,0.10973809523809526
EID_2305,0.5226333333333334
EID_3977,0.27522857142857143
EID_14845,0.044033333333333334
EID_6629,0.19177500000000003
EID_14577,0.6998
EID_24509,0.10794999999999999
EID_1530,0.2601
EID_21524,0.1153
EID_6647,0.2376
EID_19730,0.13167777777777778
EID_4424,0.1683
EID_7964,0.0791388888888889
EID_6289,0.205325
EID_2899,0.181
EID_2827,0.0071
EID_8801,0.14397142857142858
EID_20454,0.0549
EID_18988,0.13167777777777778
EID_8405,0.11495416666666665
EID_14497,0.14782
EID_11769,0.6412
EID_21353,0.20726666666666665
EID_2221,0.14814
EID_13218,0.11228888888888888
EID_4576,0.59
EID_17470,0.0259
EID_14817,0.5549
EID_21845,0.062246666666666665
EID_21987,0.4782
EID_1168,0.29574999999999996
EID_14315,0.30022
EID_5043,0.0081
EID_1967,0.0665
EID_22274,0.16310000000000002
EID_11091,0.2333
EID_18421,0.2537
EID_8316,0.13167777777777778
EID_13308,0.0326
EID_19481,0.1572
EID_17732,0.0038
EID_4504,0.0721
EID_2539,0.7555
EID_19529,0.21251499999999995
EID_2279,0.657
EID_14508,0.14166623376623372
EID_12241,0.27270555555555553
EID_11530,0.14166623376623372
EID_20147,0.17593333333333336
EID_6154,0.14239342105263153
EID_3523,0.02486
EID_20453,0.07961666666666667
EID_11929,0.17290090909090908
EID_12840,0.1175
EID_22320,0.13167777777777778
EID_25383,0.19177500000000003
EID_10731,0.07815
EID_1017,0.7203
EID_1819,0.2695
EID_22849,0.05678999999999999
EID_12290,0.1065
EID_24238,0.14166623376623372
EID_3105,0.10942105263157893
EID_14242,0.10730357142857146
EID_16569,0.2658333333333333
EID_8094,0.2214
EID_7824,0.101225
EID_8978,0.2996
EID_25314,0.0917090909090909
EID_17810,0.07576666666666666
EID_14856,0.17704999999999999
EID_22144,0.06547692307692307
EID_23603,0.05362857142857141
EID_7211,0.057999999999999996
EID_19340,0.9475000000000001
EID_1501,0.1414
EID_22111,0.4705
EID_16147,0.5284
EID_16746,0.5126
EID_20777,0.1366
EID_12999,0.10730357142857146
EID_21663,0.0259
EID_11862,0.10942105263157893
EID_17683,0.09675
EID_19819,0.07645
EID_21562,0.3743
EID_24390,0.0754
EID_14444,0.1535
EID_3261,0.0308
EID_7752,0.19194999999999998
